selection_rank,ticker,gics_sector,gics_industry_group,gics_industry,gics_sub_industry
364,TDC UN Equity,Information Technology,Software & Services,Software,Systems Software
365,TFC UN Equity,Financials,Banks,Banks,Regional Banks
366,TFCFA UW Equity,Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment
367,TGNA UN Equity,Communication Services,Media & Entertainment,Media,Broadcasting
368,TGT UN Equity,Consumer Staples,Consumer Staples Distribution,Consumer Staples Distribution,Consumer Staples Merchandise R
369,THC UN Equity,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Facilities
370,TJX UN Equity,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Apparel Retail
371,TMO UN Equity,Health Care,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,Life Sciences Tools & Services
372,TNL UN Equity,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines"
373,TPR UN Equity,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goo","Apparel, Accessories & Luxury"
374,TROW UW Equity,Financials,Financial Services,Capital Markets,Asset Management & Custody Ban
375,TRV UN Equity,Financials,Insurance,Insurance,Property & Casualty Insurance
376,TSN UN Equity,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
377,TT UN Equity,Industrials,Capital Goods,Building Products,Building Products
378,TWC UN Equity,Communication Services,Media & Entertainment,Media,Cable & Satellite
379,TWX UN Equity,Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment
380,TXT UN Equity,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
381,UNH UN Equity,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Managed Health Care
382,UNM UN Equity,Financials,Insurance,Insurance,Life & Health Insurance
383,UNP UN Equity,Industrials,Transportation,Ground Transportation,Rail Transportation
384,UPS UN Equity,Industrials,Transportation,Air Freight & Logistics,Air Freight & Logistics
385,URBN UW Equity,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Apparel Retail
386,USB UN Equity,Financials,Banks,Banks,Diversified Banks
387,V UN Equity,Financials,Financial Services,Financial Services,Transaction & Payment Processi
388,VAR UN Equity,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment
389,VFC UN Equity,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goo","Apparel, Accessories & Luxury"
390,VLO UN Equity,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing
391,VMC UN Equity,Materials,Materials,Construction Materials,Construction Materials
392,VNO UN Equity,Real Estate,Equity Real Estate Investment,Office REITs,Office REITs
393,VRSN UW Equity,Information Technology,Software & Services,IT Services,Internet Services & Infrastruc
394,VTR UN Equity,Real Estate,Equity Real Estate Investment,Health Care REITs,Health Care REITs
395,VZ UN Equity,Communication Services,Telecommunication Services,Diversified Telecommunication,Integrated Telecommunication S
396,WAT UN Equity,Health Care,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,Life Sciences Tools & Services
397,WEC UN Equity,Utilities,Utilities,Multi-Utilities,Multi-Utilities
398,WELL UN Equity,Real Estate,Equity Real Estate Investment,Health Care REITs,Health Care REITs
399,WFC UN Equity,Financials,Banks,Banks,Diversified Banks
400,WFM UW Equity,Consumer Staples,Consumer Staples Distribution,Consumer Staples Distribution,Food Retail
401,WHR UN Equity,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Household Appliances
402,WM UN Equity,Industrials,Commercial & Professional Serv,Commercial Services & Supplies,Environmental & Facilities Ser
403,WMB UN Equity,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transporta
404,WMT UN Equity,Consumer Staples,Consumer Staples Distribution,Consumer Staples Distribution,Consumer Staples Merchandise R
405,WU UN Equity,Financials,Financial Services,Financial Services,Transaction & Payment Processi
406,WY UN Equity,Real Estate,Equity Real Estate Investment,Specialized REITs,Timber REITs
407,WYNN UW Equity,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Casinos & Gaming
408,XEL UN Equity,Utilities,Utilities,Electric Utilities,Electric Utilities
409,XLNX UW Equity,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors
410,XOM UN Equity,Energy,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas
411,XRAY UW Equity,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Supplies
412,XRX UN Equity,Information Technology,Technology Hardware & Equipmen,"Technology Hardware, Storage &","Technology Hardware, Storage &"
413,YUM UN Equity,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants
414,ZBH UN Equity,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment
415,ZION UW Equity,Financials,Banks,Banks,Regional Banks
