selection_rank,ticker,gics_sector,gics_industry_group,gics_industry,gics_sub_industry
136,DOC UN Equity,Real Estate,Equity Real Estate Investment,Health Care REITs,Health Care REITs
137,DOFSQ UN Equity,Energy,Energy,Energy Equipment & Services,Oil & Gas Drilling
138,DOV UN Equity,Industrials,Capital Goods,Machinery,Industrial Machinery & Supplie
139,DRI UN Equity,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants
140,DTE UN Equity,Utilities,Utilities,Multi-Utilities,Multi-Utilities
141,DUK UN Equity,Utilities,Utilities,Electric Utilities,Electric Utilities
142,DVA UN Equity,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services
143,DVN UN Equity,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc
144,EA UW Equity,Communication Services,Media & Entertainment,Entertainment,Interactive Home Entertainment
145,EBAY UW Equity,Consumer Discretionary,Consumer Discretionary Distrib,Broadline Retail,Broadline Retail
146,ECL UN Equity,Materials,Materials,Chemicals,Specialty Chemicals
147,ED UN Equity,Utilities,Utilities,Multi-Utilities,Multi-Utilities
148,EFX UN Equity,Industrials,Commercial & Professional Serv,Professional Services,Research & Consulting Services
149,EIX UN Equity,Utilities,Utilities,Electric Utilities,Electric Utilities
150,EL UN Equity,Consumer Staples,Household & Personal Products,Personal Care Products,Personal Care Products
151,ELV UN Equity,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Managed Health Care
152,EMN UN Equity,Materials,Materials,Chemicals,Specialty Chemicals
153,EMR UN Equity,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipm
154,EOG UN Equity,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc
155,EQR UN Equity,Real Estate,Equity Real Estate Investment,Residential REITs,Multi-Family Residential REITs
156,EQT UN Equity,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc
157,ES UN Equity,Utilities,Utilities,Electric Utilities,Electric Utilities
158,ESRX UW Equity,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services
159,ETFC UW Equity,Financials,Financial Services,Capital Markets,Investment Banking & Brokerage
160,ETN UN Equity,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipm
161,ETR UN Equity,Utilities,Utilities,Electric Utilities,Electric Utilities
162,EW UN Equity,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment
163,EXC UN Equity,Utilities,Utilities,Electric Utilities,Electric Utilities
164,EXPD UW Equity,Industrials,Transportation,Air Freight & Logistics,Air Freight & Logistics
165,EXPE UW Equity,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines"
166,F UN Equity,Consumer Discretionary,Automobiles & Components,Automobiles,Automobile Manufacturers
167,FAST UW Equity,Industrials,Capital Goods,Trading Companies & Distributo,Trading Companies & Distributo
168,FCX UN Equity,Materials,Materials,Metals & Mining,Copper
169,FDX UN Equity,Industrials,Transportation,Air Freight & Logistics,Air Freight & Logistics
170,FE UN Equity,Utilities,Utilities,Electric Utilities,Electric Utilities
171,FFIV UW Equity,Information Technology,Technology Hardware & Equipmen,Communications Equipment,Communications Equipment
172,FIS UN Equity,Financials,Financial Services,Financial Services,Transaction & Payment Processi
173,FISV UW Equity,Financials,Financial Services,Financial Services,Transaction & Payment Processi
174,FITB UW Equity,Financials,Banks,Banks,Diversified Banks
175,FLIR UW Equity,Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Electronic Equipment & Instrum
176,FLR UN Equity,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
177,FLS UN Equity,Industrials,Capital Goods,Machinery,Industrial Machinery & Supplie
178,FMC UN Equity,Materials,Materials,Chemicals,Fertilizers & Agricultural Che
