variant,mean_return,std_return,sharpe,skewness,kurtosis,max_drawdown,var_95,cvar_95,pct_positive,n_pairs,n_active,n_full,n_partial,n_non,n_inactive
standard,-0.004229,0.312720,-0.097850,0.154904,24.954247,-0.033570,-0.400375,-0.726027,0.515486,1000.000000,995.714286,119.714286,533.285714,342.714286,1.428571
wavelet,-0.041138,0.307730,-1.084525,-1.236715,26.406078,-0.055482,-0.454768,-0.842538,0.472153,1000.000000,994.857143,116.285714,516.428571,362.142857,2.285714
