method,variant,mean_return,sharpe,pct_positive,average_number_of_trades,mean_return_pct
cointegration,standard_forced_close,0.003067,0.091888,0.488770,418.285714,0.306750
distance,standard_forced_close,0.003458,0.189385,0.496465,982.428571,0.345791
